user_id,month,category,leak_type,description,leak_amount,leak_percentage,evidence,severity
1,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6355.68,15.87,55 small transactions,medium
1,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4303.5,13.46,35 small transactions,low
1,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4360.77,14.15,40 small transactions,low
1,2026-04,multiple,late_night,A high proportion of transactions occur during late-night hours.,9931.73,32.22,32.2% of transactions were late-night,medium
1,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5496.82,14.45,41 small transactions,medium
1,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3864.62,10.58,32 small transactions,low
2,2026-03,multiple,late_night,A high proportion of transactions occur during late-night hours.,8198.65,32.69,32.7% of transactions were late-night,medium
2,2026-05,multiple,late_night,A high proportion of transactions occur during late-night hours.,10288.44,36.73,36.7% of transactions were late-night,high
2,2026-06,multiple,late_night,A high proportion of transactions occur during late-night hours.,10227.59,40.0,40.0% of transactions were late-night,high
3,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4579.37,19.77,34 small transactions,low
3,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3633.73,11.81,32 small transactions,low
3,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5221.24,20.49,41 small transactions,medium
3,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3799.67,15.9,30 small transactions,low
3,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4704.42,18.03,38 small transactions,low
3,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3466.09,15.26,35 small transactions,low
5,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6533.04,22.46,66 small transactions,medium
5,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5547.11,21.2,52 small transactions,medium
5,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,9362.46,35.79,35.8% of transactions were late-night,medium
5,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4838.4,16.96,46 small transactions,low
5,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5657.17,18.34,58 small transactions,medium
5,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7012.34,25.02,65 small transactions,medium
5,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4763.98,19.96,52 small transactions,low
6,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4053.75,17.7,37 small transactions,low
6,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4948.55,24.67,47 small transactions,low
6,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5411.47,21.24,56 small transactions,medium
6,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4221.35,21.63,36 small transactions,low
6,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4246.88,15.13,36 small transactions,low
6,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4678.13,21.73,41 small transactions,low
7,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3948.29,11.85,33 small transactions,low
7,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4418.36,14.76,39 small transactions,low
7,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4961.61,15.6,47 small transactions,low
7,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4723.68,14.7,39 small transactions,low
7,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3088.37,7.8,29 small transactions,low
8,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2981.27,17.5,28 small transactions,low
8,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,2383.89,14.77,27 small transactions,low
8,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3173.99,17.53,29 small transactions,low
8,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3739.83,24.29,37 small transactions,low
8,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4055.48,23.59,39 small transactions,low
8,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3011.65,20.74,32 small transactions,low
9,2026-01,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6126.35,15.0,50 small transactions,medium
9,2026-02,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4316.83,12.69,34 small transactions,low
9,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,6057.36,15.63,54 small transactions,medium
9,2026-04,multiple,micro_spending,Small transactions are accumulating into a significant amount.,5881.69,15.25,50 small transactions,medium
9,2026-05,multiple,micro_spending,Small transactions are accumulating into a significant amount.,4777.45,13.8,41 small transactions,low
9,2026-06,multiple,micro_spending,Small transactions are accumulating into a significant amount.,7181.39,22.05,55 small transactions,medium
10,2026-02,multiple,late_night,A high proportion of transactions occur during late-night hours.,11176.19,53.85,53.8% of transactions were late-night,high
10,2026-03,multiple,micro_spending,Small transactions are accumulating into a significant amount.,3074.8,16.49,26 small transactions,low
